T8o	J6s	K6o	A2o	T6s	98o	76s	86s	96s	Q3s	J5s	K5o	Q7o	Q2s	J4s	33	65s	J7o	T7o	K4o	75s	T5s	Q6o	J3s	95s	87o
0,607364	0,681460	0,675818	0,535499	0,686933	0,633568	0,337797	0,324828	0,500000	0,565829	0,574983	0,544845	0,579356	0,562377	0,567066	0,494326	0,342196	0,589792	0,598565	0,536216	0,391464	0,571410	0,673957	0,567062	0,414130	0,407947
0,421925	0,412095	0,602221	0,575197	0,423526	0,432501	0,450669	0,447716	0,434171	0,500000	0,411970	0,605104	0,595770	0,471702	0,408499	0,635935	0,447798	0,395682	0,407735	0,604179	0,438990	0,411848	0,563559	0,285673	0,422493	0,429989
0,418722	0,579258	0,596040	0,564710	0,418933	0,425228	0,438156	0,432733	0,425017	0,588030	0,500000	0,702621	0,595783	0,584578	0,448040	0,511359	0,341959	0,599275	0,404932	0,562717	0,332258	0,293365	0,598237	0,445613	0,306396	0,419615
0,441751	0,433735	0,593109	0,605840	0,449347	0,444425	0,469814	0,460343	0,455155	0,394896	0,297379	0,500000	0,399131	0,393735	0,399148	0,541634	0,349291	0,412015	0,428800	0,440772	0,338434	0,299283	0,399292	0,398050	0,313212	0,440555
0,429302	0,398412	0,604191	0,591643	0,409871	0,438452	0,346322	0,430942	0,420644	0,404230	0,404217	0,600869	0,500000	0,399507	0,403182	0,534076	0,412078	0,269692	0,285655	0,596883	0,334280	0,401445	0,369437	0,401563	0,412219	0,312069
0,421929	0,415548	0,603903	0,715561	0,426978	0,432505	0,458970	0,447719	0,437623	0,528298	0,415422	0,606265	0,600493	0,500000	0,411951	0,653884	0,453631	0,399620	0,411673	0,605341	0,446908	0,415300	0,565076	0,408421	0,425945	0,429999
0,418732	0,581459	0,597075	0,568376	0,418936	0,433657	0,443604	0,438565	0,432934	0,591501	0,551960	0,600852	0,596818	0,588049	0,500000	0,514578	0,440314	0,600453	0,404942	0,704167	0,434954	0,407181	0,599272	0,471266	0,421179	0,425518
0,500678	0,489687	0,462903	0,311577	0,499544	0,507406	0,517494	0,517275	0,505674	0,364065	0,488641	0,458366	0,465924	0,346116	0,485422	0,500000	0,508051	0,476670	0,487427	0,454814	0,505259	0,487428	0,465193	0,366153	0,493519	0,507062
0,604307	0,662504	0,657854	0,525250	0,670517	0,607919	0,644471	0,651996	0,657804	0,552202	0,658041	0,650709	0,587922	0,546369	0,559686	0,491949	0,500000	0,591787	0,601135	0,530247	0,636414	0,650984	0,652883	0,554238	0,648988	0,608842
0,421245	0,397556	0,587343	0,578759	0,399536	0,430714	0,334804	0,420569	0,410208	0,604318	0,400725	0,587985	0,730308	0,600380	0,399547	0,523330	0,408213	0,500000	0,275905	0,583999	0,337636	0,391153	0,589397	0,398020	0,401825	0,306133
0,670190	0,600500	0,579650	0,565938	0,398267	0,423774	0,343059	0,412089	0,401435	0,592265	0,595068	0,571200	0,714345	0,588327	0,595058	0,512573	0,398865	0,724095	0,500000	0,571178	0,328460	0,395801	0,581703	0,591513	0,392555	0,299286
0,441773	0,437538	0,595630	0,609831	0,449378	0,453967	0,475795	0,466737	0,463784	0,395821	0,437283	0,559228	0,403117	0,394659	0,295833	0,545186	0,469753	0,416001	0,428822	0,500000	0,463570	0,437154	0,403279	0,398975	0,451559	0,447344
0,617933	0,594887	0,570313	0,533588	0,603635	0,623735	0,583680	0,610636	0,608536	0,561010	0,667742	0,661566	0,665720	0,553092	0,565046	0,494741	0,363586	0,662364	0,671540	0,536430	0,500000	0,660684	0,573151	0,559214	0,661649	0,655557
